assetId,siteId,issueDate,faultType,component,description,resolution,status,resolvedDate,batchId,severity,technician,recurrenceCount,mediaPath
AST-SCB-DEL-0788,DEL-0788,2026-06-23,corrosion,wire terminal,Visible orange/brownish discol…,,open,,,medium,auto-logged by foreman-vision,0,MMab99ff2f28369250e92bf48…
AST-PDU-DEL-0512,DEL-0512,2026-06-23,overheating,MC4 connector,The copper wire strands and th…,,open,,,medium,auto-logged by foreman-vision,0,MM6a7313bc0bfffb602cc7397…
AST-SCB-MUM-0345,MUM-0345,2026-05-20,corrosion,MC4 connector,Mild coastal corrosion on the c…,Cleaned and re-sealed the conn…,resolved,2026-05-21,HV-BATCH-21,low,P. Nair,0,
AST-INV-DEL-0623,DEL-0623,2026-05-15,overheating,string_inverter,Inverter derating in afternoon…,"Replaced cooling fan, applied f…",resolved,2026-05-17,VE-BATCH-07,medium,R. Mehta,0,
AST-RF-MUM-0210,MUM-0210,2026-04-12,corrosion,rf_jumper_cable,Coastal salt corrosion with co…,"Replaced connector, applied ar…",resolved,2026-04-14,NG-BATCH-22,medium,P. Nair,1,
AST-RF-DEL-0473,DEL-0473,2026-03-18,corrosion,rf_jumper_cable,Surface oxidation at the conne…,"Cleaned contacts, re-sealed wit…",resolved,2026-03-19,NG-BATCH-22,low,A. Khan,0,
AST-PDU-DEL-0512,DEL-0512,2026-04-30,overheating,power_distribution_unit,Phase-B busbar running warm…,"Re-torqued lugs, performed a t…",resolved,2026-05-02,VE-BATCH-07,medium,A. Khan,0,
AST-SCB-DEL-0802,DEL-0802,2026-06-05,melted_connector,MC4 connector,Heat damage and arc marks o…,Replaced pair; formal batch ins…,recurring,,HV-BATCH-19,high,S. Iyer,1,foremenbucket/AST-SCB-DEL-0…
AST-SCB-DEL-0791,DEL-0791,2026-05-27,melted_connector,MC4 connector,Connector body softening and…,"Replaced connector, raised a b…",resolved,2026-05-29,HV-BATCH-19,medium,S. Iyer,0,
AST-SCB-DEL-0788,DEL-0788,2026-05-09,melted_connector,MC4 connector,String-3 MC4 pair showed hea…,Replaced male/female MC4 pa…,resolved,2026-05-11,HV-BATCH-19,high,R. Mehta,1,foremenbucket/AST-SCB-DEL-0…
AST-SCB-DEL-0788,DEL-0788,2026-03-22,overheating,MC4 connector,Routine thermal scan flagged …,"Monitored, torque-checked, sc…",resolved,2026-03-22,HV-BATCH-19,low,R. Mehta,0,
